0	0	0	
4.14292	4.15789	5.17377	
3.64856	3.68256	4.88123	
4.26598	4.29726	5.43356	
3.89278	3.92565	5.06625	
4.13986	4.16961	5.25147	
3.99369	4.02058	5.08656	
4.09741	4.12056	5.1393	
4.05084	4.07024	5.06625	
4.10172	4.11817	5.08003	
1.03425	0.971198	1.13472	
1.33774	1.56396	2.57136	
1.423	1.73371	2.65046	
1.40389	1.68486	2.56298	
1.37011	1.64577	2.53337	
1.35413	1.61208	2.48106	
1.33909	1.58261	2.43403	
1.33491	1.55985	2.379	
1.33759	1.54408	2.32414	
1.35154	1.53801	2.26703	
3.41137	3.0879	3.35893	
5.40708	4.9497	5.32773	
5.35107	4.87187	5.17984	
5.21822	4.6946	4.96484	
5.01113	4.43474	4.66985	
4.74335	4.09785	4.30149	
4.41862	3.68479	3.86275	
4.05396	3.20678	3.36637	
3.66364	2.6734	2.82272	
3.25996	2.09661	2.24326	
0.0242169	0.0105609	0.00909224	
7.17756e-05	7.1777e-05	9.68531e-06	
7.42004e-06	7.41929e-06	9.36957e-07	
9.00745e-07	9.00686e-07	1.13708e-07	
1.10105e-07	1.10098e-07	1.38993e-08	
1.34625e-08	1.34617e-08	1.69965e-09	
1.64663e-09	1.64653e-09	2.07166e-10	
2.01009e-10	2.00999e-10	2.5953e-11	
2.50806e-11	2.50765e-11	2.58513e-12	
2.72908e-12	2.72908e-12	5.99557e-13	
9.47226	8.67292	8.32867	
12.251	11.6183	11.2561	
12.5342	12.035	11.7805	
12.8909	12.4048	12.2729	
13.3573	12.8638	12.8142	
13.7889	13.2738	13.2794	
14.1588	13.6076	13.6547	
14.4574	13.8622	13.9542	
14.6865	14.044	14.2011	
14.8524	14.1668	14.4214	
