10.001	10.002	9.763	5.257	10.002	3.881	2.67	3.758	2.165	2.205	1.119	2.188	1.195	1.962	2.121	1.731	2.044	1.007	0.672	1.145	0.994	0.596	1.103	4.28	1.085	10.003	3.942	2.672	1.002	4.248	3.877	3.279	2.618	10.001	1.696	2.371	1.441	0.356	6.403	2.783	1.275	3.138	5.819	0.766	2.574	1.594	3.546	10.001	3.96	10.001	0.965	0.759	0.642	7.877	1.522	3.286	2.122	4.617	2.585	2.146	0.955	
10.002	10.001	10.002	5.984	6.508	1.643	1.007	3.031	0.586	1.416	0.433	1.105	0.657	2.575	0.183	1.336	0.933	0.7	0.152	2.714	2.219	2.42	3.453	1.703	6.83	0.328	1.161	1.095	1.211	2.781	0.94	1.555	2.108	6.712	5.319	2.47	2.062	0.609	2.024	8.254	0.662	3.673	6.626	4.721	2.304	2.597	3.599	1.129	8.904	1.127	1.397	2.449	0.55	6.573	9.628	6.992	2.932	10.002	3.097	6.841	5.43	
10.001	10.002	9.416	3.442	2.016	3.739	1.028	2.104	2.625	1.603	0.593	1.603	1.745	0.868	1.17	0.92	0.315	4.677	1.41	0.646	6.811	0.541	1.597	0.487	2.134	3.833	1.55	1.992	1.029	0.733	0.415	0.871	1.333	3.241	2.553	1.263	0.485	1.018	1.417	1.427	8.244	0.558	5.879	0.302	2.936	8.241	1.484	4.624	4.109	0.311	2.859	4.016	0.987	2.464	0.802	1.13	8.93	2.725	0.495	1.809	0.628	
10.001	10.002	4.844	5.419	1.483	2.36	1.286	1.337	3.631	2.132	4.493	0.853	1.303	0.228	1.086	2.612	2.177	2.184	0.519	0.416	0.543	3.445	6.638	1.296	2.948	1.879	1.786	4.204	1.1	3.446	0.225	0.219	6.391	3.039	1.491	1.874	1.366	0.289	3.191	4.579	0.564	4.244	2.584	4.772	6.206	0.243	3.721	3.723	4.585	10.001	10.001	2.452	0.665	0.944	10.002	4.7	0.533	0.794	5.809	4.396	10.002	
10.001	10.002	10.002	3.115	4.899	2.345	6.292	4.213	3.236	3.641	3.154	0.905	0.407	1.166	2.7	2.248	3.01	1.717	3.715	3.958	1.142	5.258	2.549	0.642	1.618	0.421	6.981	2.264	0.745	3.473	1.997	2.208	2.328	0.895	2.911	0.795	0.168	0.54	1.302	0.691	7.604	0.092	0.194	0.923	1.526	4.012	1.491	5.651	0.6	10.002	2.469	10.012	5.089	4.007	2.086	4.784	10.004	1.587	8.969	1.543	4.49	
10.002	10.002	10.002	5.132	0.446	3.089	1.791	3.297	1.381	3.817	2.509	3.067	0.289	4.043	0.657	0.497	1.152	0.703	3.473	7.014	9.901	0.251	2.681	0.659	4.184	1.073	0.733	5.738	0.363	1.353	1.978	1.576	2.742	1.56	5.004	1.004	1.461	1.785	3.934	8.335	6.007	0.696	1.547	1.688	3.514	1.562	2.373	10.001	1.74	2.49	10.002	0.921	1.895	7.022	2.448	1.348	6.645	8.04	3.899	1.925	2.109	
10.006	10.015	6.949	4.917	3.083	2.396	10.001	0.492	3.256	0.228	1.097	0.994	0.382	0.799	0.323	1.712	3.051	2.082	0.296	0.143	1.927	6.773	3.234	2.794	0.756	0.194	4.055	0.173	0.717	1.249	1.334	0.693	0.332	3.347	1.454	1.181	3.062	0.534	1.272	4.406	6.697	0.914	4.2	1.705	7.33	2.787	1.749	0.805	1.701	10.003	5.845	3.628	2.899	5.396	0.548	4.372	1.011	10.001	2.283	0.644	0.634	
10.001	10.002	10.002	3.576	2.244	5.512	0.75	2.027	1.769	5.892	2.781	2.062	0.658	2.053	1.872	0.326	5.114	1.99	7.038	0.573	1.587	2.484	1.133	1.949	3.391	3.259	3.826	0.508	5.954	1.386	4.141	1.026	1.488	0.25	2.696	5.469	0.223	10.004	7.339	0.371	4.053	2.371	1.858	2.738	2.015	0.933	4.762	0.941	0.39	2.462	3.834	0.865	1.296	3.453	4.001	2.706	3.362	6.87	10.003	3.293	10.001	
10.002	9.048	2.96	2.706	0.947	3.038	2.141	1.942	2.382	5.816	3.863	1.611	1.053	0.882	1.205	1.004	1.847	0.903	1.244	4.877	2.75	2.068	1.382	6.046	0.279	4.981	1.03	1.573	3.473	1.801	0.506	6.23	2.385	1.407	0.801	0.992	10.002	1.878	0.867	3.419	1.985	2.609	4.113	1.077	2.047	7.588	1.718	3.185	0.411	1.088	1.853	0.774	4.096	2.659	3.609	3.781	5.16	3.454	10.002	9.285	2.851	
10.006	10.002	6.039	9.114	2.438	1.918	1.175	2.605	2.107	3.451	1.841	3.418	7.292	3.824	0.547	1.546	0.441	0.818	4.063	6.167	2.72	0.396	0.671	7.244	1.021	1.71	2.942	1.379	1.781	2.761	2.349	1.488	6.114	10.001	7.01	1.218	3.352	0.908	1.73	2.667	2.871	0.677	0.638	0.459	1.466	2.203	1.5	0.451	1.042	0.795	7.455	2.74	10.007	1.762	8.879	2.213	1.861	8.895	2.374	1.622	1.632	
